"AIQ","HCI","SD","BF","NAOS","EL","NI","AGNT"
46.8,0.4,20.9,BF05,5,100k,100000,Freq#5
55.0,0.4,22.9,BF05,5,100k,100000,H_l#1
52.0,0.4,20.1,BF05,5,100k,100000,H_l#2
53.4,0.4,20.7,BF05,5,100k,100000,H_l#3
55.2,0.4,22.4,BF05,5,100k,100000,H_l#4
55.0,0.5,23.1,BF05,5,100k,100000,H_l#5
54.3,1.4,23.0,BF05,5,100k,100000,MC_AIXI#1
51.8,1.2,19.4,BF05,5,100k,100000,MC_AIXI#2
55.3,1.4,23.0,BF05,5,100k,100000,MC_AIXI#3
53.5,1.3,21.4,BF05,5,100k,100000,MC_AIXI#4
50.5,1.3,20.3,BF05,5,100k,100000,MC_AIXI#5
49.1,0.4,19.4,BF05,5,100k,100000,Q_l#1
